Latitude,Longitude,Name,Priority,,,
41.3,-124,Redwood National Park,Low priority,,,
37.85,-119.55,Yosemite National Park,Low priority,,,
37.6283,-112.16766,Bryce Canyon National Park,High Priority ,,,
38.68333,-109.56667,Arches National Park,Medium Priority,,,
44.6,-110.5,YellowStone National Park,High Priority ,,,
36.983333,-110.1,Monument Vally National park,Medium Priority,,,
