Latitude,Longitude,Name,Rank,AcceptanceRate,NumStudent,URLlogo
37.87,-122.25,"University of California,Berkely",2,18%,1,https://upload.wikimedia.org/wikipedia/commons/a/a1/Seal_of_University_of_California%2C_Berkeley.svg
34.06,-118.44,"University of California,Los Angeles",4,47%,2,https://upload.wikimedia.org/wikipedia/commons/0/0d/The_University_of_California_UCLA.svg
33.77,-84.39,Georgia Institute of Technology ,7,76%,3,https://upload.wikimedia.org/wikipedia/commons/6/6c/Georgia_Tech_seal.svg
